,Tweet,Target,Stance,Opinion Towards,Sentiment
2279,work decade behalf american people corporatocracy corrupt #semst #bernie2016,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2280,another brilliant idea support #nomorebushes #semst #commoncore #bush.,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2281,breathe live ignore collectively succumb toxin political ecological unwanton oligard #semst #bernie2016 #p2,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2282,woman politician #benghazi #whyimnotvotingforhillary #semst #stophillaryclinton2016 #savetheusa,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2283,wish benghazi instead great people chronic liar power hungry animal #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2284,yaaas hillary win well dress july parade #merrimack #semst #hillaryfornh,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2285,dukes hazzard year yet offend tell #unitedblue #liberals #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2286,spatula seem appropriate give use easily flip position heat get high #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2287,shit barometer always rise republicans speak #semst #usa #july4,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2288,guy sign gut loveit #benghazi #nohillary2016 #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2289,thank follow may god bless family #freeallfour #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2290,compassion new frontier hillary never go need village committee #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2291,since funny anymore please run president even hilarious debate #semst #snl,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2292,support bernie account usa need new direction lose primary support hillary clinton #sanders2016 #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2293,treatment press amb stevens fam intel american ppl enough send jail #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2294,hilly barry bloody benghazi bamboozle #wakeupamerica #semst #hillaryicecreamflavors #tcot,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2295,animal also sellout ppl vote sellout #nohillary2016 #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2296,break dead break elitist nauseating get behind rope hateful arrogant ideologue someone else add #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2297,time guy sign arrest #benghazi #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2298,people come see hear hillary press obstruct view #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2299,would conscious haunted #killary #semst #marxism,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2300,heaven forbid anyone invade space queen lie #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2301,abedin penumbra muslim brotherhood connection incontrovertible #humaabedin #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2302,win vote vote #benghazi #domecrats #hippocratic #michellbachmann #killary #semst #emailscandal #finelady,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2303,support liar #independent #tlot #democrats #semst #berniesanders #republicans #libcrib #wakeupamerica #potus,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2304,bad worse possibly continue break law invincible #semst #obama,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2305,awkwardness awfulness think latter #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2306,today number many year old jesus learn ride bike pretty cool dude #proudmom #uswnt #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2307,result matter may feel less safe mental health issue obama watch #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2308,grateful chance tell world love many flavor ice cream #wakeupamerica #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2309,dazzle brilliance baffle bullshit #semst #libstardsareidiots #hillaryclinton,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2310,time rope killary delete ballot clone sodom insane obammad #wakeupamerica #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2311,really understand people pro choice life life matter week old year old #semst,Legalization of Abortion,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2312,let agree kill lbs baby uterus #clinton2016 #semst #dnc #procompromise,Legalization of Abortion,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2313,would like see poll many abortion doctor tell woman abortion require case #semst,Legalization of Abortion,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2314,democrats always personhood perceive legislation recognize always #personhood. #semst #colorado,Legalization of Abortion,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2315,draw line arbitrarily draw draw anywhere nonsense #semst,Legalization of Abortion,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
2316,lady needs help mental illness serious issue #semst,Legalization of Abortion,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2317,new video see human #prolife... #semst,Legalization of Abortion,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
